date,open,high,low,close,Volume
2020-01-01,1517.111,1517.111,1517.111,1517.111,0.0
2020-01-02,1517.111,1531.414,1517.111,1529.108,18231.0
2020-01-03,1529.108,1553.537,1528.035,1552.394,37995.0
2020-01-04,1552.394,1552.394,1552.394,1552.394,0.0
2020-01-05,1552.394,1552.394,1552.394,1552.394,0.0
2020-01-06,1552.394,1589.739,1552.394,1565.916,49856.0
2020-01-07,1565.916,1577.392,1555.388,1574.282,37514.0
2020-01-08,1574.282,1611.498,1552.366,1556.43,103298.0
2020-01-09,1556.43,1561.38,1540.256,1552.426,40069.0
2020-01-10,1552.426,1563.182,1545.784,1562.212,26680.0
2020-01-11,1562.212,1562.212,1562.212,1562.212,0.0
2020-01-12,1562.212,1562.212,1562.212,1562.212,0.0
2020-01-13,1562.212,1562.212,1546.578,1548.03,22087.0
2020-01-14,1548.03,1548.934,1536.016,1546.423,28580.0
2020-01-15,1546.423,1558.21,1546.07,1556.248,22769.0
2020-01-16,1556.248,1558.136,1548.099,1552.474,17463.0
2020-01-17,1552.474,1561.298,1549.465,1557.304,17742.0
2020-01-18,1557.304,1557.304,1557.304,1557.304,0.0
2020-01-19,1557.304,1557.304,1557.304,1557.304,0.0
2020-01-20,1557.304,1562.802,1556.458,1560.897,6775.0
2020-01-21,1560.897,1568.696,1546.403,1558.168,30474.0
2020-01-22,1558.168,1559.293,1550.281,1558.965,17979.0
2020-01-23,1558.965,1567.974,1551.987,1562.813,30047.0
2020-01-24,1562.813,1575.929,1556.629,1571.724,32056.0
2020-01-25,1571.724,1571.724,1571.724,1571.724,0.0
2020-01-26,1571.724,1571.724,1571.724,1571.724,0.0
2020-01-27,1571.724,1588.632,1571.724,1581.937,45449.0
2020-01-28,1581.937,1583.102,1565.599,1567.322,30674.0
2020-01-29,1567.322,1578.036,1563.471,1576.896,29297.0
2020-01-30,1576.896,1586.026,1572.39,1574.296,45084.0
2020-01-31,1574.296,1590.55,1571.045,1589.975,43615.0
2020-02-01,1589.975,1589.975,1589.975,1589.975,0.0
2020-02-02,1589.975,1589.975,1589.975,1589.975,0.0
2020-02-03,1589.975,1592.168,1569.661,1576.731,45732.0
2020-02-04,1576.731,1579.673,1549.15,1552.917,35492.0
2020-02-05,1552.917,1562.431,1547.5535,1556.204,38631.0
2020-02-06,1556.204,1568.34,1552.556,1566.68,27519.0
2020-02-07,1566.68,1574.121,1560.463,1570.384,33845.0
2020-02-08,1570.384,1570.384,1570.384,1570.384,0.0
2020-02-09,1570.384,1570.384,1570.384,1570.384,0.0
2020-02-10,1570.384,1577.056,1568.096,1572.216,24964.0
2020-02-11,1572.216,1574.098,1562.206,1567.848,22268.0
2020-02-12,1567.848,1570.502,1561.984,1565.846,16772.0
2020-02-13,1565.846,1578.382,1565.674,1576.088,28113.0
2020-02-14,1576.088,1585.08,1573.164,1583.846,17474.0
2020-02-15,1583.846,1583.846,1583.846,1583.846,0.0
2020-02-16,1583.846,1583.846,1583.846,1583.846,0.0
2020-02-17,1583.846,1583.846,1578.935,1581.208,7091.0
2020-02-18,1581.208,1605.131,1581.208,1601.418,23820.0
2020-02-19,1601.418,1612.982,1599.606,1611.686,26291.0
2020-02-20,1611.686,1623.744,1603.976,1619.617,37972.0
2020-02-21,1619.617,1649.34,1619.034,1643.397,47217.0
2020-02-22,1643.397,1643.397,1643.397,1643.397,0.0
2020-02-23,1643.397,1643.397,1643.397,1643.397,0.0
2020-02-24,1643.397,1689.384,1643.397,1658.73,107327.0
2020-02-25,1658.73,1663.786,1625.263,1634.872,132141.0
2020-02-26,1634.872,1655.04,1625.017,1640.942,102464.0
2020-02-27,1640.942,1660.417,1635.429,1644.62,108497.0
2020-02-28,1644.62,1649.566,1563.038,1586.542,179750.0
2020-02-29,1586.542,1586.542,1586.542,1586.542,0.0
2020-03-01,1586.542,1586.542,1586.542,1586.542,0.0
2020-03-02,1586.542,1611.066,1575.579,1589.534,120772.0
2020-03-03,1589.534,1649.314,1586.708,1640.886,125446.0
2020-03-04,1640.886,1652.996,1631.958,1636.98,76585.0
2020-03-05,1636.98,1674.694,1635.096,1672.234,63685.0
2020-03-06,1672.234,1692.252,1642.351,1674.062,160135.0
2020-03-07,1674.062,1674.062,1674.062,1674.062,0.0
2020-03-08,1674.062,1674.062,1674.062,1674.062,0.0
2020-03-09,1674.062,1703.282,1657.624,1680.082,195052.0
2020-03-10,1680.082,1680.565,1641.718,1649.387,132104.0
2020-03-11,1649.387,1671.304,1633.2,1634.868,94150.0
2020-03-12,1634.868,1650.536,1560.84,1577.267,184943.0
2020-03-13,1577.267,1598.056,1504.782,1529.486,217444.0
2020-03-14,1529.486,1529.486,1529.486,1529.486,0.0
2020-03-15,1529.486,1529.486,1529.486,1529.486,0.0
2020-03-16,1529.486,1575.454,1451.432,1515.107,243530.0
2020-03-17,1515.107,1554.013,1465.81,1528.358,185144.0
2020-03-18,1528.358,1546.426,1472.77,1486.304,204658.0
2020-03-19,1486.304,1501.105,1464.304,1472.795,143452.0
