date,open,high,low,close,Volume
2020-01-01,3235.92,3235.92,3235.92,3235.92,0.0
2020-01-02,3237.58,3261.58,3234.83,3261.58,0.0
2020-01-03,3260.9,3263.35,3206.85,3235.35,0.0
2020-01-04,3235.35,3235.35,3235.35,3235.35,0.0
2020-01-05,3235.35,3235.35,3235.35,3235.35,0.0
2020-01-06,3220.88,3250.38,3209.63,3243.63,0.0
2020-01-07,3243.94,3254.94,3226.69,3233.44,0.0
2020-01-08,3231.1,3268.24,3181.74,3260.74,0.0
2020-01-09,3261.27,3276.77,3257.77,3275.27,0.0
2020-01-10,3276.47,3287.85,3261.85,3264.6,0.0
2020-01-11,3264.6,3264.6,3264.6,3264.6,0.0
2020-01-12,3264.6,3264.6,3264.6,3264.6,0.0
2020-01-13,3267.94,3292.44,3267.69,3290.69,0.0
2020-01-14,3290.5,3297.81,3276.56,3288.81,0.0
2020-01-15,3289.12,3300.37,3279.12,3295.12,0.0
2020-01-16,3295.64,3319.18,3295.64,3318.43,0.0
2020-01-17,3318.25,3331.5,3317.5,3325.0,0.0
2020-01-18,3325.0,3325.0,3325.0,3325.0,0.0
2020-01-19,3325.0,3325.0,3325.0,3325.0,0.0
2020-01-20,3327.09,3330.26,3320.51,3327.22,0.0
2020-01-21,3327.46,3331.96,3309.46,3322.17,0.0
2020-01-22,3323.64,3339.72,3317.72,3319.47,0.0
2020-01-23,3319.26,3329.18,3303.68,3328.68,0.0
2020-01-24,3329.03,3339.28,3283.03,3293.28,0.0
2020-01-25,3293.28,3293.28,3293.28,3293.28,0.0
2020-01-26,3293.28,3293.28,3293.28,3293.28,0.0
2020-01-27,3272.35,3272.35,3236.1,3244.35,0.0
2020-01-28,3242.55,3288.18,3242.18,3285.93,0.0
2020-01-29,3284.6,3295.7,3268.7,3274.2,0.0
2020-01-30,3274.79,3298.1,3242.85,3297.1,0.0
2020-01-31,3294.71,3300.21,3215.71,3230.71,0.0
2020-02-01,3230.71,3230.71,3230.71,3230.71,0.0
2020-02-02,3230.71,3230.71,3230.71,3230.71,0.0
2020-02-03,3225.01,3269.82,3224.82,3248.07,0.0
2020-02-04,3246.71,3307.95,3238.83,3302.7,0.0
2020-02-05,3302.95,3340.7,3291.2,3338.45,0.0
2020-02-06,3339.42,3359.71,3334.71,3350.21,0.0
2020-02-07,3350.8,3351.46,3322.46,3324.71,0.0
2020-02-08,3324.71,3324.71,3324.71,3324.71,0.0
2020-02-09,3324.71,3324.71,3324.71,3324.71,0.0
2020-02-10,3324.19,3355.21,3305.46,3354.21,0.0
2020-02-11,3352.71,3376.25,3351.25,3361.0,0.0
