date,open,high,low,close,Volume
2020-01-01,129.12,132.96,128.62,130.62,466063.929
2020-01-02,130.63,130.75,126.25,127.11,523582.924
2020-01-03,127.11,135.07,125.78,134.29,951123.597
2020-01-04,134.31,135.8,132.41,134.14,509778.108
2020-01-05,134.14,138.17,134.12,135.33,669677.687
2020-01-06,135.32,144.38,134.82,144.04,1095147.166
2020-01-07,144.11,145.25,138.7,142.86,963331.505
2020-01-08,142.86,147.94,137.15,140.75,1208133.766
2020-01-09,140.76,141.52,135.33,137.73,956864.213
2020-01-10,137.73,145.15,135.22,144.8,908378.249
2020-01-11,144.8,148.03,142.0,142.4,832163.204
2020-01-12,142.4,146.6,141.71,146.57,630256.911
2020-01-13,146.57,147.0,142.32,143.58,558655.672
2020-01-14,143.57,171.0,143.49,165.77,2169559.414
2020-01-15,165.75,172.18,159.35,166.6,1391999.279
2020-01-16,166.61,167.63,158.43,164.37,784199.474
2020-01-17,164.39,174.79,162.27,170.06,946707.348
2020-01-18,170.06,179.57,165.08,174.43,819444.357
2020-01-19,174.37,178.42,161.81,167.04,742371.819
2020-01-20,167.04,169.48,161.5,167.03,390055.869
2020-01-21,167.01,170.34,165.02,169.52,351565.999
2020-01-22,169.62,171.61,166.12,168.19,334378.174
2020-01-23,168.24,168.38,159.41,162.97,481102.22
2020-01-24,162.97,164.65,155.72,162.63,472568.424
2020-01-25,162.66,163.0,157.8,160.52,282785.555
2020-01-26,160.5,168.16,159.5,167.9,326188.863
2020-01-27,167.98,172.26,165.28,170.21,418039.792
2020-01-28,170.25,176.7,170.22,175.88,525282.459
2020-01-29,175.89,178.85,173.3,173.8,401619.605
2020-01-30,173.86,187.4,171.07,185.14,653770.608
2020-01-31,185.16,186.34,175.5,180.14,672522.049
2020-02-01,180.14,184.58,179.41,183.82,526688.019
2020-02-02,183.8,193.7,179.0,188.59,907342.798
2020-02-03,188.64,195.45,186.65,189.92,652054.538
2020-02-04,189.89,191.76,184.71,189.01,614290.379
2020-02-05,189.0,208.18,188.26,204.1,902811.615
2020-02-06,204.1,216.7,201.28,213.27,1254989.317
2020-02-07,213.3,225.36,213.3,223.57,1054174.736
2020-02-08,223.57,228.02,213.35,223.57,1090545.108
2020-02-09,223.57,230.9,223.5,228.64,969021.787
2020-02-10,228.71,229.96,217.32,223.03,1175671.024
2020-02-11,223.04,239.98,218.64,237.16,1194286.448
2020-02-12,237.17,277.97,237.17,266.24,2223807.477
2020-02-13,266.26,278.8,256.2,268.48,2386998.02
2020-02-14,268.48,287.58,260.53,285.4,1447161.175
2020-02-15,285.4,289.0,262.41,265.08,1925220.413
2020-02-16,265.16,274.3,237.86,258.87,2297491.401
2020-02-17,258.87,268.81,242.32,268.0,2129022.857
2020-02-18,267.99,286.48,258.78,282.96,1885124.383
2020-02-19,282.96,286.7,250.0,258.43,1677778.697
2020-02-20,258.39,264.32,245.91,257.11,1618473.989
2020-02-21,257.18,268.5,253.89,265.44,985301.295
2020-02-22,265.45,267.16,256.23,261.83,752957.418
2020-02-23,261.82,275.84,261.5,274.67,940831.98
2020-02-24,274.66,277.26,257.5,265.7,1483265.023
2020-02-25,265.69,266.4,244.57,247.03,1563901.657
2020-02-26,247.03,250.54,215.75,224.1,2729291.802
2020-02-27,224.13,238.58,210.01,227.92,2374539.334
2020-02-28,227.93,234.93,214.25,227.09,2026863.186
2020-02-29,227.04,233.33,217.14,217.31,1309444.25
2020-03-01,217.37,228.0,212.33,218.01,1775078.523
2020-03-02,218.01,234.5,216.24,232.22,1604040.396
2020-03-03,232.24,232.67,220.21,224.1,1544830.651
2020-03-04,224.1,229.0,220.45,224.47,1027175.512
2020-03-05,224.43,234.26,224.43,228.64,1142530.928
2020-03-06,228.63,245.38,227.6,244.94,1307956.34
2020-03-07,244.97,251.8,236.3,237.34,1637057.953
2020-03-08,237.36,237.38,195.35,199.54,3150036.792
2020-03-09,199.54,208.65,190.02,203.02,3885205.704
2020-03-10,202.95,206.32,195.66,200.95,2008333.356
2020-03-11,200.9,203.26,181.88,194.81,2125322.09
2020-03-12,194.77,195.81,95.0,106.71,7116256.71700001
2020-03-13,106.97,323.0,84.23,134.13,6584772.11199999
2020-03-14,134.1,134.67,121.16,122.55,1845475.252
2020-03-15,122.56,133.85,120.4,123.89,1802030.406
2020-03-16,123.87,124.4,100.11,111.06,3622097.906
2020-03-17,111.04,121.55,109.34,115.68,2053691.349
2020-03-18,115.67,118.59,109.78,118.16,1583517.464
2020-03-19,118.12,143.34,115.5,136.42,2098800.654
2020-03-20,136.42,152.68,116.67,133.52,3128620.956
2020-03-21,133.48,137.58,125.58,132.67,1933564.299
2020-03-22,132.64,137.2,121.0,122.25,1724360.751
2020-03-23,122.27,137.67,119.0,135.96,1950909.243
2020-03-24,135.96,143.44,132.41,138.38,1745190.832
2020-03-25,138.39,142.46,132.36,136.1,1448291.794
2020-03-26,136.11,139.8,133.18,138.41,1069528.365
2020-03-27,138.36,141.44,129.16,131.27,1024307.98
2020-03-28,131.24,132.93,124.52,130.95,1335630.33
2020-03-29,130.97,131.77,123.74,124.4,848667.965
2020-03-30,124.42,135.13,123.93,132.04,1187536.733
2020-03-31,132.07,135.0,130.33,132.61,896493.378
2020-04-01,132.6,137.22,128.27,135.6,1143905.195
2020-04-02,135.6,149.97,135.0,141.3,1694646.358
2020-04-03,141.29,146.78,137.68,141.23,1307374.677
2020-04-04,141.2,146.14,138.79,144.02,977437.997
2020-04-05,143.97,145.52,140.6,142.59,780295.149
2020-04-06,142.59,171.99,142.51,171.15,2847455.204
2020-04-07,171.15,176.16,162.13,164.55,3033756.235
2020-04-08,164.56,174.59,163.55,173.19,1871521.554
2020-04-09,173.18,173.44,164.89,169.46,1307817.881
2020-04-10,169.48,170.1,152.0,157.69,2238955.865
2020-04-11,157.69,161.25,153.78,158.19,1157138.069
2020-04-12,158.21,164.9,154.85,158.72,1402479.422
2020-04-13,158.69,159.08,149.55,156.37,1787879.914
2020-04-14,156.38,161.83,155.07,158.43,1342786.247
2020-04-15,158.42,161.32,151.9,152.64,1352926.571
2020-04-16,152.64,174.92,148.07,172.27,3073088.701
2020-04-17,172.31,174.88,168.21,170.56,1341267.776
2020-04-18,170.56,189.68,170.28,187.48,2159964.294
2020-04-19,187.52,188.3,176.27,179.97,2326412.534
2020-04-20,179.96,186.47,166.6,170.19,3452651.911
2020-04-21,170.19,174.63,167.92,170.66,2195445.346
2020-04-22,170.66,183.98,169.8,182.63,2433000.659
2020-04-23,182.63,194.4,178.0,185.53,3351092.377
2020-04-24,185.54,189.77,184.49,187.65,1865428.754
2020-04-25,187.67,198.53,185.7,194.25,2370712.47600001
2020-04-26,194.22,199.99,192.27,197.46,2056340.656
2020-04-27,197.46,199.0,189.51,196.37,2321318.544
2020-04-28,196.39,197.72,192.28,196.31,1903267.47
